word;Translation;Asso;F;Asso;F;Asso;F;total;t=x;T>1;T
aalbes;red currant;rood;31;bos;19;fruit;16;270;32;35;80
aambeeld;anvil;smid;37;hamer;34;ijzer;21;270;35;21;91
aanrecht;kitchen sink;keuken;69;afwas;38;koken;32;345;5;34;127
aap;monkey;zoo;27;mens;19;dier;17;270;3;34;107
aardappel;potato;puree;27;eten;22;frieten;19;270;3;37;81
aardbei;strawberry;rood;58;lekker;31;zomer;25;267;4;18;62
aarde;earth;grond;26;rond;25;bol;16;270;5;34;86
aas;bait;vissen;46;worm;28;vis;26;273;8;26;76
abrikoos;apricot;oranje;41;fruit;32;lekker;25;264;4;23;71
accordeon;accordion;muziek;54;toetsen;8;lucsteeno;8;264;9;37;122
acteur;actor;film;64;toneel;22;tv;14;270;2;27;99
actrice;actress;film;48;acteur;21;toneel;18;249;0;22;101
adder;viper;slang;54;gras;41;groen;10;270;20;28;92
advocaat;lawyer;rechtbank;21;toga;17;geld;15;267;3;33;128
avocado;avocado;groen;47;lekker;20;fruit;19;306;9;36;104
afdrogen;to dry;handdoek;51;afwas;32;nat;14;246;0;27;84
afrika;Africa;warm;27;zwart;17;negers;11;270;3;46;106
ajuin;onion;wenen;33;tranen;22;groente;14;267;3;36;109
akker;field;boer;53;veld;27;landbouw;17;246;2;30;77
alcohol;alcohol;bier;50;zat;25;wijn;16;270;4;30;97
alligator;alligator;krokodil;52;tanden;16;water;15;270;9;27;94
amerika;America;bush;53;groot;17;oorlog;12;267;3;31;130
amfibie;amphibian;kikker;46;dier;21;water;20;267;23;26;78
ananas;pineapple;fruit;42;geel;41;lekker;19;270;5;27;79
angel;sting;bij;52;wesp;47;pijn;35;270;12;19;61
anjer;carnation;bloem;68;roos;13;rood;10;249;4;25;82
anker;anchor;boot;67;schip;42;zee;39;324;3;32;96
ansjovis;anchovy;pizza;39;vis;32;zout;25;267;9;23;84
apotheker;pharmacist;ziek;32;medicijnen;21;dokter;17;270;4;35;87
appel;apple;fruit;25;groen;25;boom;23;270;2;26;77
appelflap;apple turnover;lekker;26;bakker;24;zoet;15;246;3;28;94
aquarium;aquarium;water;52;vissen;45;vis;33;246;0;23;72
archeoloog;archaeologist;geschiedenis;26;egypte;14;zand;13;270;4;39;110
architect;architect;huis;55;tekenen;24;plan;16;270;4;33;98
arend;eagle;vogel;48;vliegen;15;groot;14;270;2;36;100
arm;arm;rijk;23;been;23;hand;22;264;0;34;116
artisjok;artichoke;groente;43;pizza;18;lekker;15;255;31;23;89
asbak;ashtray;sigaret;35;stank;26;roken;22;261;1;25;67
asperges;asparagus;wit;33;soep;19;vies;15;270;1;31;107
assepoester;Cinderella;sprookje;32;prins;24;schoen;17;267;3;33;87
aster;aster;bloem;76;ster;11;herfst;9;297;47;24;91
atletiek;athletics;lopen;49;sport;42;piste;16;270;1;31;97
